Year,Gifts for Family,Gifts for Family,Gifts for Friends,Gifts for Friends,Gifts for Coworkers,Gifts for Coworkers,Other Gifts,Other Gifts
Year,Spend,Change,Spend,Change,Spend,Change,Spend,Change
2004,$405,-,$71,-,$22,-,$41,-
2005,$419,↑ $14,$79,↑ $8,$21,↓ $1,$44,↑ $3
2006,$428,↑ $9,$81,↑ $2,$21,- $0,$42,↓ $2
2007,$434,↑ $6,$83,↑ $2,$21,- $0,$35,↓ $7
2008,$389,↓ $65,$79,↓ $4,$22,↑ $1,$36,↑ $1
2009,$387,↓ $2,$67,↓ $12,$19,↓ $3,$35,↓ $1
2010,$411,↑ $24,$75,↑ $8,$19,- $0,$36,↑ $1
2011,$424,↑ $13,$72,↓ $3,$22,↑ $3,$25,↓ $11
2012,$423,↓ $1,$75,↑ $3,$24,↑ $2,$28,↑ $3
2013,$432,↑ $9,$75,- $0,$25,↑ $1,$27,↓ $1
2014,$459,↑ $17,$80,↑ $5,$26,↑ $1,$30,↑ $3
2015,$471,↑ $12,$79,↓ $1,$26,- $0,$29,↓ $1
2016,$486,↑ $15,$81,↑ $2,$26,- $0,$28,↓ $1
2017,$478,↓ $8,$75,↓ $6,$25,↓ $1,$29,↑ $1
2018,$506,↑ $28,$75,- $0,$26,↑ $1,$31,↑ $2
2019,$501,↓ $5,$84,↑ $9,$35,↑ $9,$38,↑ $7
2020,$502,↑ $1,$80,↓ $5,$32,↓ $3,$36,↓ $2
2021,$514,↑ $12,$79,↓ $1,$25,↓ $7,$30,↓ $6
