Year,Gifts for Family,Gifts for Family,Gifts for Friends,Gifts for Friends,Gifts for Coworkers,Gifts for Coworkers,Other Gifts,Other Gifts
Year,%,Change,%,Change,%,Change,%,Change
2004,98%,-,80%,-,39%,-,50%,-
2005,98%,- 0%,81%,↑ 1%,38%,↓ 1%,48%,↓ 2%
2006,98%,- 0%,83%,↑ 2%,40%,↑ 2%,52%,↑ 4%
2007,98%,- 0%,80%,↓ 3%,37%,↓ 3%,47%,↓ 5%
2008,98%,- 0%,80%,- 0%,41%,↑ 4%,49%,↑ 2%
2009,98%,- 0%,75%,↓ 5%,33%,↓ 8%,42%,↓ 7%
2010,97%,↓ 1%,74%,↓ 1%,32%,↓ 1%,45%,↑ 3%
2011,97%,- 0%,74%,- 0%,32%,- 0%,44%,↓ 1%
2012,97%,- 0%,72%,↓ 2%,32%,- 0%,44%,- 0%
2013,96%,↓ 1%,71%,↓ 1%,31%,↓ 1%,42%,↓ 2%
2014,97%,↑ 1%,73%,↑ 2%,35%,↑ 4%,44%,↑ 2%
2015,96%,↓ 1%,71%,↓ 2%,33%,↓ 2%,43%,↓ 1%
2016,97%,↑ 1%,71%,- 0%,33%,- 0%,43%,- 0%
2017,97%,- 0%,70%,↓ 1%,33%,- 0%,44%,↑ 1%
2018,97%,- 0%,70%,- 0%,33%,- 0%,42%,↓ 2%
2019,96%,↓ 1%,70%,- 0%,34%,↑ 1%,42%,- 0%
2020,96%,- 0%,67%,↓ 3%,31%,↓ 3%,41%,↓ 1%
2021,96%,- 0%,68%,↑ 1%,30%,↓ 1%,41%,- 0%
