Year,Candy and Food,Candy and Food,Decorations,Decorations,Greetings Cards and Postage,Greetings Cards and Postage,Flowers,Flowers,Total,Total
Year,Spend,Change,Spend,Change,Spend,Change,Spend,Change,Spend,Change
2004,$84,-,$36,-,$25,-,$16,-,$161,-
2005,$87,↑ $3,$41,↑ $5,$28,↑ $3,$16,- $0,$172,↑ $11
2006,$87,- $0,$44,↑ $3,$29,↑ $1,$18,↑ $2,$178,↑ $6
2007,$88,↑ $3,$46,↑ $2,$30,↑ $1,$19,↑ $1,$183,↑ $5
2008,$79,↓ $9,$43,↓ $3,$27,↓ $3,$19,- $0,$168,↓ $15
2009,$90,↑ $11,$41,↓ $2,$27,- $0,$17,↓ $2,$175,↑ $7
2010,$90,- $0,$43,↑ $2,$27,- $0,$18,↑ $1,$178,↑ $3
2011,$102,↑ $12,$49,↑ $6,$28,↑ $1,$19,↑ $1,$198,↑ $20
2012,$101,↓ $1,$52,↑ $3,$29,↑ $1,$20,↑ $1,$202,↑ $4
2013,$104,↑ $3,$54,↑ $2,$29,- $0,$22,↑ $2,$209,↑ $7
2014,$104,- $0,$54,- $0,$29,- $0,$20,↓ $2,$207,↓ $2
2015,$110,↑ $6,$54,- $0,$29,- $0,$22,↑ $2,$215,↑ $8
2016,$110,- $0,$58,↑ $4,$29,- $0,$22,- $0,$219,↑ $4
2017,$110,- $0,$58,- $0,$28,↓ $1,$22,- $0,$218,↓ $1
2018,$108,↓ $2,$58,- $0,$28,- $0,$22,- $0,$216,↓ $2
2019,$110,↑ $2,$61,↑ $3,$31,↑ $3,$25,↑ $3,$227,↑ $11
2020,$110,- $0,$60,↓ $1,$32,↑ $1,$27,↑ $2,$229,↑ $2
2021,$115,↑ $5,$63,↑ $3,$29,↓ $3,$24,↓ $3,$231,↑ $2
